Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,KNN_Quality,MLP_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba3Zr6BeCl18,Ba2CaP4(H3O8)2,0.6657196465357189,0.7071503,0.5240501917201409,0.7242804570945229,0.711742060002728,87.60387143532145,1.2822169977268187,5.4657,4.1835,17.581490207109955,-0.2749266898645301,-0.1015656746743157
Ba3NbAs3O,Ba2DyCl7,0.6650954157684993,0.708607,0.522745538183627,0.7229280539883649,0.7090548355363865,87.56259489421882,1.323916997726819,5.4194,4.0955,17.31921624773407,-1.3566727890416663,0.0883652789647173
Ba3Zr2S7,Ba2DyCl7,0.664730711884886,0.7087645,0.5251591822200448,0.7056985491378419,0.7211681689470403,87.81438606693597,1.082816997726819,5.4194,4.336600000000001,17.31921624773407,-0.7210170602916661,-0.1356362127011944
Ba3Cr2O8,Ba2HoCl7,0.6640325072382902,0.71902156,0.5203261536211684,0.7083532302530703,0.703113886079126,87.56588370765327,1.4032169977268192,5.4559,4.0527,17.526026148831015,-0.2374810371153843,-0.0806129247168555
Ba2Mn(AsO4)2,Ba3Tm(BO2)9,0.6630333131962252,0.70815593,0.5077637608070671,0.7190234553788187,0.722165532019506,86.37429532320058,1.498186441755564,5.2676,3.7694,16.09980458457755,-0.6808967800288781,-0.193558656550114
Ba2InCuO4,AcCl3,0.6629516532084658,0.7123161,0.5130009484463985,0.7237842508238478,0.703169691762038,86.88694933635459,1.3662169977268188,5.0865,3.7203,15.469499303872531,-0.7153995097916672,-0.0369056258903851
Ba4LaGe3SbSe13,Ba2CaP4(H3O8)2,0.6624699467344219,0.7006213,0.5242105044491061,0.7012326253207217,0.729766690721638,87.71940907510405,1.4883785721190117,5.4657,3.977300000000001,17.4640692945134,-1.1040565981386783,0.1132677947351218
Ba2SiTe4,Ba2CaP4(H3O8)2,0.6622618402812837,0.7085845,0.5026846608418474,0.7252752953470355,0.7176552269902203,85.97492823038519,1.3583169977268197,5.4657,4.1074,17.581490207109955,-1.2589667310550052,-0.2890392949311
Ba3NbAs3O,Ba2HoCl7,0.6621119771708268,0.70430684,0.5253215768222119,0.7197019208043545,0.7016690373541141,87.98301201267267,1.323916997726819,5.4559,4.132,17.526026148831015,-1.3533320693750008,0.0964181994191675
Ba3Zr2S7,Ba3Tm(BO2)9,0.661880221023726,0.69885087,0.5254633748674123,0.7050020150513819,0.7245808338500402,87.90532499524531,1.082816997726819,5.2676,4.1848,16.467591779378182,-0.9890272353024204,0.0570158669470464
Ba4LaGe3SbSe13,Ba2HoCl7,0.6608813412355663,0.7092597,0.5179173173243629,0.707674980721305,0.7081306382073533,87.51955505517331,1.4883785721190117,5.4559,3.9675,17.408975662191686,-1.4092840607741486,-0.2036798991808443
Ba3Cr2O8,Ba3Tm(BO2)9,0.6606744863225815,0.69841456,0.5150173392809448,0.7286950988746056,0.7086801565037513,87.02913304116544,1.4032169977268192,5.2676,3.8644,16.467591779378182,-0.5088319317928041,0.1199668771348722
Ba3Zr2S7,Ba3Tb(BO2)9,0.6605363518157026,0.7017149,0.5217676948572054,0.7089704059511908,0.7135006913553226,87.7885599258558,1.082816997726819,5.1728,4.09,15.94269133886722,-0.9817206766465052,0.0146699266503667
Ba2Ge2Se5,Ba2B11H7O22,0.6600644015940874,0.7046905,0.5175608910923032,0.7050424822965311,0.7151200088172323,87.48238707648571,1.5466208727092796,5.6652,4.118499999999999,16.956706822295736,-1.1839908185689467,-0.0230909311642588
Ba2Ge2Se5,Al2H16S3O20,0.6589066741465393,0.6953971,0.5164058059310767,0.7237725985055873,0.7083086116779628,87.28126596940096,1.5466208727092796,5.6055,4.0588,16.644613819892903,-0.3465273859336886,-0.1192470680989454
