Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba2InSbSe5,Ba(PO3)2,0.5895911485834074,0.636783,0.5188033061432721,79.580980382354,1.0234169977268193,5.4349,4.4115,17.40684437120676,-1.5503568859333647,0.064943896633798
Ba3In2O6,AcCl3,0.5894928273177363,0.6447844,0.5065554372013156,75.9881573887989,1.107916997726819,5.0865,3.9786,15.469499303872531,-0.4387514357765147,0.1290906348966974
Ba2InSbSe5,Ba2HoCl7,0.589369554591702,0.6559163,0.48954946118723996,70.95211015832798,1.0234169977268193,5.4559,4.4325,17.526026148831015,-1.4364766904571766,-0.3352284263959391
Ba3AlAs3,Ba2CaP4(H3O8)2,0.589321402648349,0.6401098,0.5131387659392241,77.98028668856986,1.1875169977268192,5.4657,4.2782,17.581490207109955,-1.5194071762931,0.1306156794913748
Ag3AsSe3,Ba(ClO4)2,0.589234246562175,0.63983786,0.5133287950114709,78.05884077840275,1.146016997726819,5.4454,4.2994,14.536388917989578,-0.8083313330215105,0.0335860817788528
Ba2SnSe5,Ba2CaP4(H3O8)2,0.5892324947979627,0.66197467,0.4801191895372118,68.1540220735127,1.3426169977268192,5.4657,4.1231,17.581490207109955,-1.0500521212121865,0.3182799350003638
Ba2GdMoO6,Ba(PO3)2,0.5892073876345844,0.6442123,0.5066999958665894,76.10377271831004,1.1637169977268191,5.4349,4.2712,17.40684437120676,0.0596219440238106,-0.1616875819441843
Ba3MnSb2O9,Al4(B2O5)3,0.5891451888389205,0.6539104,0.49199731476774194,71.74064161656159,1.7628285557013643,5.8127,4.0499,17.147963614598964,-0.5218028582712639,-0.126398182671177
Ba2YCoO5,Ba4Bi3F17,0.58912956769476,0.6486148,0.4999016239049449,74.1034270413672,1.0272169977268188,4.9991,3.9719,14.995201535508638,-0.6944965196527728,-0.2423777033661471
Ba3In2O6,Ba2CaP4(H3O8)2,0.5891157264477767,0.6421886,0.5095063584463687,76.95878613849366,1.107916997726819,5.4657,4.357799999999999,17.581490207109955,-0.059954025016045,-0.0214787277984303
Ba(TmTe2)2,Ba3Si2(B3O8)2,0.5888479699785648,0.64257765,0.5082534378009881,76.65613798581812,1.039516997726819,5.4031,4.3636,17.227122381477397,-1.3964025180026431,0.1680722339352828
Ba2InSbO6,Al2Pb3F12,0.5887879160708323,0.6456344,0.5035181412265038,75.26589989374246,0.7794169977268187,5.2252,4.4458,16.232185176768496,-0.7099241900098039,-0.2411264564307886
Ba2InBiSe5,Ba2P2O7,0.5886973303027928,0.6374187,0.5156152351369411,78.87252927570096,1.316416997726819,5.1483,3.8319,15.807777426493834,-1.7529849992053717,-0.0317075080247396
Ba3NaRuO6,Ba3Tb(BO2)9,0.5886806903112379,0.64042133,0.5110696846814075,77.5331905340403,0.7866169977268193,5.1728,4.3862000000000005,15.94269133886722,-0.6857037143052032,-0.017737449272719
Ba2Na2U(S2O)2,Ba2YC2(O2F)3,0.5886385874820763,0.65917486,0.4828341645183699,69.11746031896577,1.5081917121269697,5.263999999999999,3.7558,15.823780962510554,-0.8316504021193478,0.2515043399542042
Ba2Ni(PO4)2,Ba4Bi3F17,0.588634525388041,0.6467043,0.5015298094589482,74.71343109496162,1.1930169977268188,4.9991,3.8061,14.995201535508638,-0.5852039981478887,-0.1597698431465279
Ba2CrO4,Al2Pb3F12,0.588624428861563,0.6424442,0.5078947076033168,76.60698327304668,0.7966169977268195,5.2252,4.428599999999999,16.232185176768496,-0.513769482247898,-0.1929729485616222
Ag2P2PdO7,Ba2B11H7O22,0.5886135590765029,0.64969385,0.4969931127362326,73.36662238819298,1.4222169977268189,5.6652,4.243,18.725422882466763,-0.7847948154861102,0.2001414093801555
Ba4LaGe3SbSe13,Ba3Tb(BO2)9,0.5886112554538854,0.6416548,0.5090458948583919,76.95162670919066,1.4883785721190117,5.1728,3.6844,15.836215417645372,-1.6733283967956532,-0.0533058299858864
Ba3ThSe7,Ba2P2O7,0.5885751021060456,0.6466332,0.5014878690623017,74.71602226263066,1.178416997726819,5.1483,3.9699,15.807777426493834,-1.284859715716309,0.2069825436408977
Ba3Ta2Se9,Ba3Tb(BO2)9,0.5885691973035297,0.6428877,0.5070913663667345,76.38281464960393,1.5010593186159011,5.1728,3.6717,15.514640704879527,-1.5547116225743325,-0.0147343192526622
Ba2Ge2Se5,Al(PO3)3,0.5885666210955063,0.64495,0.503991519288639,75.46290140404372,1.5466208727092796,5.8176,4.2709,17.760188805062697,-1.4545823117565255,0.0022243555222552
Ba2Tl2O5,Ba3ZnB5PO14,0.5883929272561977,0.6493633,0.49693736932419497,73.40559648191274,1.0156169977268188,4.8405000000000005,3.8249,15.63042719367385,-1.0525403064318772,0.1008915265758581
Ba4Li(BiO4)3,Ba3Tm(BO2)9,0.5883671045992502,0.64316285,0.506173446946772,76.16199881761725,0.8215169977268192,5.2676,4.4461,16.467591779378182,-0.9423042415107532,0.0972762645914396
Ba2Tl2O5,Ba3B6H2O13,0.5882420922651607,0.6483879,0.4980233523584201,73.76778096066352,1.0156169977268188,5.0891,4.0735,15.483711135885049,-0.9177000946412036,0.2110470111697557
Ba3ThSe7,Ba3Al2B10H4O23,0.5882091784026386,0.64700335,0.5000178425377018,74.37091647093375,1.178416997726819,4.9577,3.7793,14.772212483504363,-0.908429770777638,-0.0903606487973963
Ba(YTe2)2,Ba3Si2(B3O8)2,0.5881241702663829,0.6367975,0.5151141791611734,78.87280560281648,1.061316997726819,5.4031,4.3418,17.227122381477397,-1.3641388637169312,0.1854069740660555
Ba2MnMoO6,Ba3Si2(B3O8)2,0.5880513003074751,0.6524654,0.49143011634638556,71.84440641670575,1.520474388087488,5.4031,3.8826,16.2527907938258,-0.5222450534476364,0.2574563436872199
Ba3In2O6,Ba2Ca(BO2)6,0.588040182478949,0.6493729,0.49604112776052084,73.22684243985648,1.107916997726819,5.0129,3.905,19.213913209575576,-0.6120684558658,-0.2257618437900127
Ba4Sb2O,Ba2DyCl7,0.5880244520921396,0.6443168,0.5035858967947181,75.4803439338041,0.8908169977268193,5.4194,4.5286,17.31921624773407,-1.2740546943095228,-0.2457713200547631
Ba2As2Se5,Ba2CaP4(H3O8)2,0.587971156147095,0.65062296,0.4939933998062523,72.63195441463238,1.2791169977268189,5.4657,4.1866,17.581490207109955,-1.2669825030068886,0.2764534467109349
Ba4LaGe3SbSe13,Ba3Tm(BO2)9,0.5879586552241408,0.63885087,0.5116203215368,77.88201088450974,1.4883785721190117,5.2676,3.7792,16.357610223080975,-1.6806349554515685,-0.0047099915325995
Ba2MnSe3,Ba(PO3)2,0.5879132945775362,0.6542677,0.48838158434613826,70.9646446827607,1.322916997726819,5.4349,4.112,17.40684437120676,-1.2083292638158056,0.3005836575875486
Ba2Zr6BCl17,Ba4Bi3F17,0.5877463919445653,0.6456123,0.5009474859944929,74.76541297099688,1.3409169977268192,4.9991,3.6582,14.995201535508638,-1.178324717932688,-0.1080312722103766
Ba3Cr2O8,Ba4Bi3F17,0.587460202339741,0.64620304,0.49934591443204,74.36039272902033,1.4032169977268192,4.9991,3.5959000000000003,14.995201535508638,-0.8735605898237129,-0.0057565560777552
