Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,1.0,-1.45,-1.45,-70.5985252139097,-70.60049358225204,-7.059852521390969e-13,-7.060049358225204e-13
Candidate_0,4.0,1.0,-1.4,-1.4,-55.52652400794561,-55.527874327837054,-5.552652400794561e-13,-5.552787432783705e-13
Candidate_0,4.0,1.0,-1.35,-1.35,-43.56175769919987,-43.562677169282395,-4.356175769919987e-13,-4.3562677169282396e-13
Candidate_0,4.0,1.0,-1.3,-1.3,-34.138797034007354,-34.13941821372793,-3.4138797034007354e-13,-3.413941821372793e-13
Candidate_0,4.0,1.0,-1.25,-1.25,-26.76077055615099,-26.76118671989695,-2.676077055615099e-13,-2.6761186719896953e-13
Candidate_0,4.0,1.0,-1.2,-1.2,-21.000930151428793,-21.0012064920537,-2.1000930151428793e-13,-2.10012064920537e-13
Candidate_0,4.0,1.0,-1.15,-1.15,-16.50789886781359,-16.508080628162205,-1.650789886781359e-13,-1.6508080628162204e-13
Candidate_0,4.0,1.0,-1.1,-1.1,-13.000986415845682,-13.001104757584244,-1.3000986415845683e-13,-1.3001104757584245e-13
Candidate_0,4.0,1.0,-1.05,-1.05,-10.259947204134344,-10.260023418464568,-1.0259947204134344e-13,-1.0260023418464568e-13
Candidate_0,4.0,1.0,-1.0,-1.0,-8.11359024620748,-8.113638756022722,-8.11359024620748e-14,-8.113638756022721e-14
Candidate_0,4.0,1.0,-0.95,-0.95,-6.42942426023148,-6.429454746380915,-6.42942426023148e-14,-6.429454746380915e-14
Candidate_0,4.0,1.0,-0.9,-0.9,-5.105042214110936,-5.105061110679777,-5.105042214110936e-14,-5.1050611106797773e-14
Candidate_0,4.0,1.0,-0.85,-0.85,-4.061258115266875,-4.061269653198963,-4.061258115266875e-14,-4.061269653198963e-14
Candidate_0,4.0,1.0,-0.8,-0.8,-3.236758296419618,-3.236765226036908,-3.236758296419618e-14,-3.236765226036908e-14
Candidate_0,4.0,1.0,-0.75,-0.75,-2.5839777512631907,-2.583981838151731,-2.5839777512631906e-14,-2.5839818381517312e-14
Candidate_0,4.0,1.0,-0.7,-0.7,-2.0659361270063092,-2.065938489184906,-2.0659361270063093e-14,-2.065938489184906e-14
Candidate_0,4.0,1.0,-0.65,-0.65,-1.6538136067592322,-1.6538149416198882,-1.6538136067592322e-14,-1.6538149416198883e-14
Candidate_0,4.0,1.0,-0.6,-0.6,-1.3250929096832509,-1.3250936450662807,-1.3250929096832509e-14,-1.3250936450662806e-14
Candidate_0,4.0,1.0,-0.55,-0.55,-1.0621330653782317,-1.0621334589404152,-1.0621330653782317e-14,-1.0621334589404152e-14
Candidate_0,4.0,1.0,-0.5,-0.5,-0.851072226990662,-0.8510724307048991,-8.51072226990662e-15,-8.510724307048992e-15
Candidate_0,4.0,1.0,-0.45,-0.45,-0.6809813273271125,-0.6809814287408547,-6.809813273271125e-15,-6.809814287408546e-15
Candidate_0,4.0,1.0,-0.4,-0.4,-0.543209130836052,-0.5432091790360202,-5.432091308360521e-15,-5.432091790360202e-15
Candidate_0,4.0,1.0,-0.35,-0.35,-0.4308734433942985,-0.4308734650494913,-4.308734433942985e-15,-4.308734650494913e-15
Candidate_0,4.0,1.0,-0.3,-0.3,-0.33846396771514725,-0.3384639767848425,-3.3846396771514723e-15,-3.3846397678484254e-15
Candidate_0,4.0,1.0,-0.25,-0.25,-0.2615303714335632,-0.26153037490248504,-2.6153037143356322e-15,-2.6153037490248502e-15
Candidate_0,4.0,1.0,-0.2,-0.2,-0.19643520948926232,-0.1964352106619418,-1.964352094892623e-15,-1.964352106619418e-15
Candidate_0,4.0,1.0,-0.15,-0.15,-0.28174074307422653,-0.28174074340506206,-2.8174074307422655e-15,-2.8174074340506207e-15
Candidate_0,4.0,1.0,-0.1,-0.1,-0.18782716302798105,-0.18782716309713757,-1.8782716302798107e-15,-1.878271630971376e-15
Candidate_0,4.0,1.0,-0.05,-0.05,-0.09391358178740855,-0.09391358179503609,-9.391358178740856e-16,-9.39135817950361e-16
Candidate_0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidate_0,4.0,1.0,0.05,0.05,0.09391358178740938,0.09391358179503692,9.391358178740939e-16,9.391358179503692e-16
Candidate_0,4.0,1.0,0.1,0.1,0.18782716302798189,0.1878271630971384,1.878271630279819e-15,1.878271630971384e-15
Candidate_0,4.0,1.0,0.15,0.15,0.28174074307422736,0.2817407434050629,2.8174074307422738e-15,2.817407434050629e-15
Candidate_0,4.0,1.0,0.2,0.2,0.19643520948926332,0.1964352106619428,1.9643520948926333e-15,1.964352106619428e-15
Candidate_0,4.0,1.0,0.25,0.25,0.2615303714335632,0.26153037490248504,2.6153037143356322e-15,2.6153037490248502e-15
Candidate_0,4.0,1.0,0.3,0.3,0.3384639677151486,0.33846397678484386,3.3846396771514858e-15,3.3846397678484384e-15
Candidate_0,4.0,1.0,0.35,0.35,0.4308734433942986,0.4308734650494914,4.3087344339429864e-15,4.308734650494914e-15
Candidate_0,4.0,1.0,0.4,0.4,0.5432091308360539,0.5432091790360221,5.43209130836054e-15,5.432091790360221e-15
Candidate_0,4.0,1.0,0.45,0.45,0.6809813273271124,0.6809814287408545,6.809813273271123e-15,6.8098142874085455e-15
Candidate_0,4.0,1.0,0.5,0.5,0.851072226990662,0.8510724307048991,8.51072226990662e-15,8.510724307048992e-15
Candidate_0,4.0,1.0,0.55,0.55,1.0621330653782317,1.0621334589404152,1.0621330653782317e-14,1.0621334589404152e-14
Candidate_0,4.0,1.0,0.6,0.6,1.3250929096832507,1.3250936450662805,1.3250929096832506e-14,1.3250936450662805e-14
Candidate_0,4.0,1.0,0.65,0.65,1.653813606759238,1.653814941619894,1.653813606759238e-14,1.653814941619894e-14
Candidate_0,4.0,1.0,0.7,0.7,2.0659361270063235,2.06593848918492,2.0659361270063235e-14,2.0659384891849203e-14
Candidate_0,4.0,1.0,0.75,0.75,2.5839777512631907,2.583981838151731,2.5839777512631906e-14,2.5839818381517312e-14
Candidate_0,4.0,1.0,0.8,0.8,3.2367582964196293,3.236765226036919,3.236758296419629e-14,3.236765226036919e-14
Candidate_0,4.0,1.0,0.85,0.85,4.061258115266875,4.061269653198963,4.061258115266875e-14,4.061269653198963e-14
Candidate_0,4.0,1.0,0.9,0.9,5.105042214110935,5.1050611106797765,5.105042214110935e-14,5.105061110679777e-14
Candidate_0,4.0,1.0,0.95,0.95,6.429424260231478,6.429454746380913,6.429424260231478e-14,6.429454746380913e-14
Candidate_0,4.0,1.0,1.0,1.0,8.11359024620748,8.113638756022722,8.11359024620748e-14,8.113638756022721e-14
Candidate_0,4.0,1.0,1.05,1.05,10.259947204134344,10.260023418464568,1.0259947204134344e-13,1.0260023418464568e-13
Candidate_0,4.0,1.0,1.1,1.1,13.000986415845817,13.001104757584379,1.3000986415845817e-13,1.3001104757584379e-13
Candidate_0,4.0,1.0,1.15,1.15,16.507898867813648,16.50808062816226,1.6507898867813648e-13,1.6508080628162262e-13
