Formula,MP_ID,Eg_bulk_eV,CBM_bulk_eV,VBM_bulk_eV,Formation_Energy_eV,Dielectric_Static,Dielectric_Source,Eg_nano_3nm_eV
AlAgO2,mp-9631,1.4164000000000003,5.5172,4.1008,-2.3048770966666545,10.725074266660075,MP_DFPT_API,1.5976017113381855
AlAgS2,mp-5782,1.8992,4.7058,2.8066,-0.9040030489062492,8.436321743331385,MP_DFPT_API,2.0587168128801396
AlAgSe2,mp-14091,1.1351999999999998,3.2434,2.1082,-0.8526771690885333,9.700932379998548,MP_DFPT_API,1.3079633456410829
AlAgSnSe4,mp-1228963,1.1072000000000002,3.0981,1.9909,-0.7697020251488093,10.966966463333335,MP_DFPT_API,1.290164689912234
AlAgTe2,mp-14092,1.0469000000000004,4.4015,3.3546,-0.43926148875000237,10.953366963334181,MP_DFPT_API,1.2297676387395275
AlAs,mp-2172,1.5007000000000001,5.0743,3.5736,-0.6270427762500006,11.537902879999983,MP_DFPT_API,1.687532688883917
AlAs3S5Cl4,mp-558360,2.2619,2.441,0.1791,-1.0036169826923071,44.978,Penn_Model_Calculated,2.503972541397013
AlAsO4,mp-5189,3.8812,3.7926,-0.0886,-2.456086594583332,15.9366,Penn_Model_Calculated,4.08854022603902
AlBPbO4,mp-558137,2.7567000000000004,6.8647,4.108,-2.720201696845237,30.6076,Penn_Model_Calculated,2.9898240167407395
AlBiCl6,mp-672273,3.7506000000000004,2.6364,-1.1142,-1.7141479287500005,16.9949,Penn_Model_Calculated,3.9612899306400644
AlBiSCl4,mp-561350,2.8305,2.8415,0.011,-1.5803596471428578,29.0838,Penn_Model_Calculated,3.062156579481049
AlBr3,mp-23288,4.0992,2.0313,-2.0679,-1.5180502868750008,14.3901,Penn_Model_Calculated,4.3007592330919335
AlCdCl4,mp-1102961,2.761,2.2197,-0.5413,-1.7117466549999871,5.572068016666667,MP_DFPT_API,2.868282733749167
AlCl3,mp-25469,5.274,5.2639,-0.0101,-1.9658130437500003,5.348142059989676,MP_DFPT_API,5.374841084198634
AlCrFeO4,mp-1229097,1.4774590874020497,6.696320173748993,5.218861086346943,-2.542837820714286,104.0746,Penn_Model_Calculated,1.7303541788814483
AlCu(PSe3)2,mp-1228984,0.8811706307205736,4.552269015484095,3.6710983847635212,-0.5588789933348209,150.0,Penn_Model_Calculated,1.1365876284473926
AlCuBr4,mp-1102536,2.1451000000000002,3.2862,1.1411,-1.2135481599999867,5.252280359999999,MP_DFPT_API,2.2430155425111766
AlCuCl4,mp-28020,2.4984,4.0579,1.5595,-1.5768964483333197,4.87481738,MP_DFPT_API,2.5836774912472573
AlCuGeSe4,mp-1228980,0.8904999999999998,3.7373,2.8468,-0.7430883706249993,150.0,Penn_Model_Calculated,1.1459169977268189
AlCuO2,mp-3098,1.8105000000000002,7.8423,6.0318,-2.4176243612499864,9.602708096663827,MP_DFPT_API,1.9823594388205525
AlCuS2,mp-4979,1.7035,6.6949,4.9914,-0.9631328539062487,8.676691023322114,MP_DFPT_API,1.8658318472064364
AlCuSe2,mp-8016,0.8929,4.7564,3.8635,-0.7563341932812495,10.121075888980734,MP_DFPT_API,1.0693316849450347
AlCuSnS4,mp-1228961,0.7129226492450247,6.235516633283817,5.522593984038792,-0.9101103921428566,150.0,Penn_Model_Calculated,0.9683396469718438
AlCuSnSe4,mp-1229027,0.5512999999999999,3.8342,3.2829,-0.7727851691964288,150.0,Penn_Model_Calculated,0.806716997726819
AlCuTe2,mp-8017,1.0469999999999997,5.8518,4.8048,-0.42519420625000137,11.698825069973717,MP_DFPT_API,1.2348547075022112
AlF3,mp-468,7.5923,6.4738,-1.1185,-3.8680460375,4.991297287389517,MP_DFPT_API,7.681681338875541
AlFePO5,mp-17477,0.54,2.9,2.36,-2.7506856665178567,150.0,Penn_Model_Calculated,0.7954169977268192
AlGaAs2,mp-1228891,0.7004999999999999,3.8486,3.1481,-0.5373326012500002,150.0,Penn_Model_Calculated,0.955916997726819
AlGaCl4,mp-541111,4.2234,3.3337,-0.8897,-1.700083312916653,21.24533757333333,MP_DFPT_API,4.444181608802035
AlH10N2OF5,mp-24618,6.1343,3.8381,-2.2962,-1.6631965823684207,6.9793,Penn_Model_Calculated,6.272603278548368
AlH10SO9F,mp-730446,5.459199999999999,4.544,-0.9152,-1.7267899050568176,8.5496,Penn_Model_Calculated,5.620063167996964
AlH11SO10,mp-722527,5.3941,4.2647,-1.1294,-1.631665221032608,8.7329,Penn_Model_Calculated,5.557067770976206
AlH12(NO5)3,mp-1203296,4.037100000000001,2.5438,-1.4933,-1.2972335396774195,14.8052,Penn_Model_Calculated,4.240329502943838
AlH14SeNO14,mp-1197821,3.576255899099855,2.6397556014191816,-0.9365002976806734,-1.3849602651562494,18.5924,Penn_Model_Calculated,3.7912799284516288
AlH15(OF)6,mp-1229104,6.1309000000000005,3.1724,-2.9585,-1.788961006026786,6.986,Penn_Model_Calculated,6.269321078836909
AlH15Br3N5,mp-1199829,4.3958,3.5821,-0.8137,-0.6834723107812509,12.6441,Penn_Model_Calculated,4.589132933824003
AlH15N5Cl3,mp-699469,4.6579999999999995,3.699,-0.959,-0.7364090049479172,11.3701,Penn_Model_Calculated,4.843736159569755
AlH2PbO2F3,mp-643387,4.496700000000001,6.0814,1.5847,-2.551014959722222,11.975357983333337,MP_DFPT_API,4.686246815493712
AlH3,mp-23933,2.1976999999999998,3.0359,0.8382,-0.07363208281249989,11.719537546744478,MP_DFPT_API,2.3856842139263
AlH3NCl3,mp-759356,5.1434,3.5551,-1.5883,-1.288243495312499,9.5051,Penn_Model_Calculated,5.314342696193291
AlH4NF4,mp-696815,6.8202,5.4353,-1.3849,-2.1607586342500005,5.8371,Penn_Model_Calculated,6.9344682216250355
AlH5(SeO4)2,mp-1214960,4.4382,4.6702,0.232,-1.599531583496093,12.4227,Penn_Model_Calculated,4.630324603438902
AlH6IO4,mp-1191939,4.2593,4.0226,-0.2367,-1.5623556402083334,13.4024,Penn_Model_Calculated,4.456468968796654
AlH6N2Cl3,mp-740718,5.0498,3.8673,-1.1825,-1.0217268171875002,9.8234,Penn_Model_Calculated,5.2236650319986415
AlH7C2SCl4,mp-1198123,4.6652000000000005,2.6613,-2.0039,-0.8205292281666667,11.3381,Penn_Model_Calculated,4.850723366534033
AlHO2,mp-625152,5.5638000000000005,9.91,4.3462,-2.6528255821875,8.867470566666666,MP_DFPT_API,5.728257488195978
AlHSO5,mp-1105277,5.6943,7.802,2.1077,-2.26148272546875,7.9391,Penn_Model_Calculated,5.847452702484892
AlHg2SbCl4,mp-568001,0.8372,0.8021,-0.0351,-1.2632334517187531,150.0,Penn_Model_Calculated,1.092616997726819
AlI3,mp-30930,3.2633,2.8767,-0.3866,-0.9552141906250009,3.725970436666666,MP_DFPT_API,3.2943553808494
AlICl6,mp-27935,2.2883,1.2459,-1.0424,-1.3249969850000056,43.9691,Penn_Model_Calculated,2.5299352082401083
AlInBr4,mp-1214853,3.8112,3.6606,-0.1506,-1.3804297715277762,16.4903,Penn_Model_Calculated,4.0203464113002125
AlInCl4,mp-638061,4.186100000000001,4.009,-0.1771,-1.7496668752777769,48.63034321,MP_DFPT_API,4.4296039911435425
AlInI4,mp-571260,3.0259,4.0283,1.0024,-0.8898664715277759,25.5739,Penn_Model_Calculated,3.253511205932064
AlInS3,mp-504482,2.3613999999999997,5.2104,2.849,-1.0024900663541663,9.719909356678436,MP_DFPT_API,2.534335875128085
AlInSe3,mp-862787,1.6095999999999995,4.1065,2.4969,-0.8639210584375008,12.409301089997475,MP_DFPT_API,1.801650092823574
AlN,mp-661,4.0536,10.0335,5.9799,-1.6796721718749996,8.731928620001746,MP_DFPT_API,4.216556850728441
AlNi2BO5,mp-1214877,3.621100000000001,8.4417,4.8206,-2.3201892974074068,18.1594,Penn_Model_Calculated,3.8350246110902044
AlNiAg2F7,mp-1214829,1.969820018818911,2.6924197169526263,0.7225996981337153,-2.4917501984848474,58.9868,Penn_Model_Calculated,2.2164190126158014
AlP,mp-1550,1.6292999999999997,5.9757,4.3464,-0.737248783988095,10.412483389999991,MP_DFPT_API,1.8081021399879378
AlP2I9,mp-28046,1.6553,2.0044,0.3491,-0.5778012016071429,83.1162,Penn_Model_Calculated,1.9061180761860024
AlPH8(CCl2)2,mp-569751,5.4006,3.4297,-1.9709,-0.7892967864620539,8.7143,Penn_Model_Calculated,5.563358246892761
AlPH9(CCl)3,mp-1196119,5.636,3.4179,-2.2181,-0.6521437156407565,8.0834,Penn_Model_Calculated,5.791080285044091
AlPI8,mp-568423,1.4267999999999998,1.4484,0.0216,-0.6438012067142858,111.5239,Penn_Model_Calculated,1.6802452841052058
AlPO4,mp-5331,5.6178,5.9912,0.3734,-3.1271722029960305,8.1294,Penn_Model_Calculated,5.773480376257558
AlPS4,mp-1102285,2.8338,4.2108,1.377,-0.6941880198710315,29.0185,Penn_Model_Calculated,3.0653902511497044
AlSCl7,mp-555805,2.4961,1.3717,-1.1244,-1.2886033074999987,37.1126,Penn_Model_Calculated,2.7341331931929105
AlSb,mp-2624,1.2262000000000004,5.6025,4.3763,-0.25297548500000033,13.325643436666676,MP_DFPT_API,1.4230005372942403
AlSbO4,mp-676861,1.6178,7.84,6.2222,-2.5433669,11.300302923333335,MP_DFPT_API,1.8030704717673833
AlSeBr7,mp-29408,2.1924,0.4719,-1.7205,-1.0297452535937452,47.8105,Penn_Model_Calculated,2.4356017092156805
AlSeCl7,mp-1205403,3.1841,2.1659,-1.0182,-1.3489241058159764,23.1926,Penn_Model_Calculated,3.4082694528431814
AlSiTe3,mp-31220,1.2309,5.3042,4.0733,-0.3323823159999989,13.001395346666667,MP_DFPT_API,1.4260961423934773
AlTeCl7,mp-573751,3.2790999999999997,1.9823,-1.2968,-1.5018705693518521,21.9254,Penn_Model_Calculated,3.501133162877689
AlTeI7,mp-29407,1.8846,2.0585,0.1739,-0.6805162451851862,64.3496,Penn_Model_Calculated,2.1324101576803995
AlTl(MoO4)2,mp-18733,3.8699000000000003,3.8614,-0.0085,-2.203208559444446,11.86127560333333,MP_DFPT_API,4.058758304831032
AlTl2F5,mp-1539038,4.4468000000000005,4.5928,0.146,-2.971503209583335,24.771872870122593,MP_DFPT_API,4.673325917301371
AlTlBr4,mp-567878,4.0998,3.1153,-0.9845,-1.4649576738888872,14.3862,Penn_Model_Calculated,4.301343083308578
AlTlCl4,mp-567716,4.7337,4.0009,-0.7328,-1.8364759055555577,11.0411,Penn_Model_Calculated,4.917189531039967
AlTlF4,mp-3751,4.433300000000001,5.2944,0.8611,-3.279988280555536,28.943462623333343,MP_DFPT_API,4.664813662538206
